,Customer_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Quantity
12,FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,OFF-SU-10000946,8
13,FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,FUR-CH-10000454,6
14,FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,OFF-BI-10004140,1
15,DB-12910,CA-2016-127985,2016-04-01,2016-04-05,Second Class,FUR-FU-10003274,4
16,ME-17320,CA-2016-159142,2016-04-04,2016-04-05,First Class,OFF-PA-10001776,3
17,ME-17320,CA-2016-159142,2016-04-04,2016-04-05,First Class,TEC-PH-10001448,3
18,TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-BI-10003305,3
19,TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-LA-10001297,2
20,TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-SU-10001574,3
21,KH-16630,CA-2016-100153,2016-12-13,2016-12-17,Standard Class,TEC-AC-10001772,4
22,JM-15265,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,TEC-PH-10002447,5
23,JM-15265,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,OFF-FA-10000304,7
24,SH-20395,CA-2016-113600,2016-12-15,2016-12-17,Second Class,OFF-BI-10000201,3
25,AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-BI-10001718,3
26,AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-PA-10001125,4
27,AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-AP-10000252,3
28,AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-AP-10002082,3
29,AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,TEC-AC-10003038,5
30,DS-13180,CA-2016-146325,2016-12-14,2016-12-17,First Class,FUR-CH-10001146,2
31,DS-13180,CA-2016-146325,2016-12-14,2016-12-17,First Class,OFF-ST-10001590,10
32,NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,OFF-SU-10000952,4
33,NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,OFF-AR-10000462,7
